folderName|SceneID
40BEF872-075A45E8-A3133BC4-0885EFFF|AC2_Venetian_Apt_3161_9FB5
42A93F08-A44747F5-BE68CF89-F5F753DC|SCEJ_Eden_VIPBox_1_FC8A_EC98
44544873-E5DD4EA7-B6C2D5F1-C1E44D87|PetrolHead_Apartment_ADA_7679
44AA58F9-9021454A-A135CE0B-CA42C9C0|Home_Square_A091_EC0
45809925-D39949AE-8802B4AB-06C7927F|VEEMEE_SFRGTTI_F04B_9423
45EB2736-2F2A4883-A2A43927-5ECDAE89|Twingate_Castle_Apt_C93E_C173
460E16D8-92DA46C6-8D6C58A8-9C98DF49|HollyridgeEstate_Apt_3A82_A762
46160244-F97B4E66-ABAA5EB4-4AB7A193|Personal_Casino_Apt_96F9_5BE7
470001DE-5DE441E2-92191DB5-AFBE5141|Palace_7_Winds_Apt_289_263E
474309D0-D3274C92-851B8E91-C6E5FD29|Mount_Olympus_Apt_1D87_7D4D
478A6CF0-279E44FC-984B04FB-9E9DDB3E|GzBurger_Apt_SCEA_5EE0_B287
47A1BB9B-AC6C4E05-97C62C83-B7CC217D|Cliff_Top_Apt_1C7D_9444
480ACF30-D0A942A4-9BEA4AFB-D2FD9E96|Edo_Lounge_PS_9175_6C36
48729594-8B3749E5-94E10B2B-D7F5FC82|UnderwaterApt_237_E5BF
4971A179-242F458A-8833B3EF-516D17F0|Boutique_Kitchen_21FC_FE92
4A2E9254-A6A74697-99DFB6C0-8AE9B8F4|Greek_Temple_Apt_F19_690B
4C5B6800-53784D29-82E97926-81326791|Cliff_Top_Apt_1C7D_9444
4C747EEE-95E943A7-805DE380-192A19BC|Villain_Cave_Hideout_32DF_A02C
4D98A4B0-C2764E1C-ACFE4AC0-A6EEF079|Mansion_13_55D3_AD90
4DC44A96-5F144552-AAE14084-DCADF52C|Seaside_Apt_EU_D5F8_AA43
4E6D5E1C-63344770-9F8DA724-787852C1|GzTeaRoom_Silver_PS_532F_841C
